"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39330","userCanDepositValidAmountTest(Object, String, String) [6] .01, ✅ Successfully deposited $%s to account %s!, .01","","Thu May 21 04:40:57 UTC 2026","passed","Thu May 21 04:41:37 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCanDepositValidAmountTest"
"","265","adminCanNotCreateUserWithIncorrectDataTest(String, String, String, String, String) [4] abc%, Password12$, USER, username, Username must contain only letters, digits, dashes, underscores, and dots","","Thu May 21 04:40:46 UTC 2026","passed","Thu May 21 04:40:47 UTC 2026","","api.itteration1.CreateUserTest","api.itteration1.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
"","2833","userCannotTransferTest(float, String) [4] 15000.0, Transfer amount cannot exceed 10000","","Thu May 21 04:40:47 UTC 2026","passed","Thu May 21 04:40:50 UTC 2026","","api.itteration2.UserTransactionTest","api.itteration2.UserTransactionTest","userCannotTransferTest"
"","36","unauthUserCannotDepositToAcc()","","Thu May 21 04:40:48 UTC 2026","passed","Thu May 21 04:40:48 UTC 2026","","api.itteration2.UserDepositTest","api.itteration2.UserDepositTest","unauthUserCannotDepositToAcc"
"","4806","adminCanLoginWithCorrectDataTest()","","Thu May 21 04:40:57 UTC 2026","passed","Thu May 21 04:41:02 UTC 2026","","ui.itteration1.LoginUserTest","ui.itteration1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","2980","userCanTransferToAnotherAcc(float) [4] 9999.99","","Thu May 21 04:40:50 UTC 2026","passed","Thu May 21 04:40:53 UTC 2026","","api.itteration2.UserTransactionTest","api.itteration2.UserTransactionTest","userCanTransferToAnotherAcc"
"","43524","userCanDepositValidAmountTest(Object, String, String) [3] 499.99, ✅ Successfully deposited $%s to account %s!, 499.99","","Thu May 21 04:40:57 UTC 2026","passed","Thu May 21 04:41:41 UTC 2026","","ui.itteration2.UserDepositTest","ui.itteration2.UserDepositTest","userCanDepositValidAmountTest"
"","23088","userCanTransferValidAmountTest(Object, String, String) [1] 10.5, ✅ Successfully transferred $%s to account %s!, 10.5","","Thu May 21 04:40:57 UTC 2026","passed","Thu May 21 04:41:20 UTC 2026","","ui.itteration2.UserTransactionTest","ui.itteration2.UserTransactionTest","userCanTransferValidAmountTest"
"","1345","userCanPutDepositTest(float) [2] 5000.0","","Thu May 21 04:40:48 UTC 2026","passed","Thu May 21 04:40:49 UTC 2026","","api.itteration2.UserDepositTest","api.itteration2.UserDepositTest","userCanPutDepositTest"
"","6458","adminCannotCreateUserWithInvalidDataTest()","","Thu May 21 04:40:57 UTC 2026","passed","Thu May 21 04:41:04 UTC 2026","","ui.itteration1.CreateUserTest","ui.itteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
